actor,imdb_mean
Ahmed Amin,8.1
Ahmed Awni,4.1
Ahmed Azmy,5.4
Ahmed Bedir,6.7
Ahmed Benaissa,6.3
Ahmed Boulane,6.6
Ahmed Dawood,6.550000000000001
Ahmed Eid,5.466666666666666
Ahmed El Fishawy,6.8
Ahmed El Hozeem,5.5
Ahmed El Sakka,5.7
Ahmed Ezz,6.4
Ahmed Fahmi,7.3
Ahmed Fathy,5.300000000000001
Ahmed Fouad Selim,6.359999999999999
Ahmed Gamal Saeed,6.3
Ahmed Hassan,7.2
Ahmed Helmy,6.6909090909090905
Ahmed Khan,8.1
Ahmed Ramah,8.0
Ahmed Ramzy,7.6
Ahmed Rateb,5.0
Ahmed Rizk,3.5
Ahmed Saeed Abdel-Ghany,6.6
Ahmed Safwat,6.2
Ahmed Saif,5.5
Ahmed Salah Al-Saadany,5.75
Ahmed Salah Hosny,6.4
Ahmed Saleh,7.2
Ahmed Sultan,5.2
Ahmed Sylla,4.75
Ahmed Zaher,4.9
Ahmed Zaki,8.2
Ahmet Kural,6.75
Ahmet Mümtaz Taylan,7.6000000000000005
Ahmet Olgun Sünear,4.4
Ahmet Pinar,6.3
Ahmet Talay,8.0
Ahmet Tansu Taşanlar,7.3
Ahmet Uz,6.1
Ahn Bo-hyun,8.2
Ahn Hyo-min,5.8
Ahn Hyo-seop,7.5
Ahn Jae-hong,6.3
Ahn Jae-hyeon,7.3
Ahn Jae-wook,7.7
Ahn Kil-kang,7.4
Ahn Nae-sang,7.35
Ahn Se-ha,7.5
Ahn Seok-hwan,8.1
Ahn Sung-kee,6.2
Ahn Tae-hwan,8.0
Ahna Capri,7.7
Ahna O'Reilly,6.55
Ahney Her,8.1
Ahron Villena,6.8
Ahsaas Channa,8.2
Ahu Türkpençe,6.3
Ai Kakuma,6.4
Ai Kayano,7.453333333333334
Ai Nonaka,7.220000000000001
Ai Weiwei,7.6
Ai Yoshikawa,4.6
Ai-Ai de las Alas,5.45
Aia Kruse,6.7
Aida,7.5
Aida Elkashef,7.2
Aida López,7.2
Aida Nurmala,6.6
Aida Reyad,6.7
Aida Rodriguez,6.2
Aida Sabra,6.0
Aidan Cook,5.2
Aidan Dee,6.9
Aidan Gillen,7.6000000000000005
Aidan Langford,7.7
Aidan Quinn,6.166666666666667
Aidan Shipley,5.9
Aidan Turner,6.1
Aidan Wojtak-Hissong,7.6
Aiden Akpan,8.2
Aiden Lovekamp,6.6
Aiden Moodie,6.3
Aidy Bryant,6.6
Aiko Melendez,6.949999999999999
Aileen Tan,5.75
Ailen Sit,6.8
Ailsa Marshall,6.5
Aimee Carrero,7.6
Aimee Garcia,7.449999999999999
Aimee Saras,5.8
Aimee Teegarden,5.85
Aimee-Ffion Edwards,6.65
Aimée Sayah,8.6
Aina Clotet,7.300000000000001
Ainsley Harriott,7.2
Ainy Jaffri,6.3
Aisha Al Suwaidi,5.9
Aisha Tyler,6.0
Aishan Jawaid Malik,6.9
Aishwarya,7.4
Aishwarya Ghaydar,6.8
Aishwarya Rai Bachchan,6.328571428571429
Aishwarya Rajesh,4.8
Aisling Bea,6.35
Aisling Loftus,6.8
Aislinn Derbez,6.14
Aissa Maiga,6.2
Ait Youssef Youssef,7.75
Aitana Sánchez-Gijón,7.1000000000000005
Aitor Luna,6.050000000000001
Aja Evans,6.1
Aja Naomi King,8.1
Ajab Gul,7.0
Ajanae Stephenson,6.9
Ajay Devgn,6.225
Ajay Friese,3.7
Ajay Ghosh,8.0
Ajay Mehta,6.0
Ajay Mishra,5.9
Ajay Nagrath,7.0
Ajay Naidu,5.8999999999999995
Ajay Raj,7.9
Ajay Ratnam,7.7
Ajay Shankar,7.6
Ajinkya Bhosale,7.4
Ajinkya Deo,4.5
Ajiona Alexus,4.2
Ajit,4.1
Ajuawak Kapashesit,7.3
Akaash Singh,7.0
Akah Nnani,7.65
Akanksha Puri,6.9
Akanksha Thakur,6.6
Akansha Ranjan Kapoor,5.4
Akara Amarttayakul,5.2
Akarat Nimitchai,7.8
Akari Kito,7.3
Akarin Akaranitimaytharatt,7.05
Akarsh Khurana,7.6
Akash Gopal,6.5
Akash Khurana,6.125
Akash Thosar,7.4
Akbar Khan,5.0
Akemi Kanda,7.9
Akemi Okamura,8.7
Akeno Watanabe,7.65
Akhilendra Mishra,6.4125000000000005
Akhmad Zulhoir Mardia,6.6
Aki Kanada,5.9
Aki Toyosaki,7.6625000000000005
Akihiro Blanco,6.4
Akihisa Shiono,6.7
Akiko Iwase,5.9
Akim Mogaji,7.6
Akin Lewis,6.466666666666666
Akin Omotoso,5.6
Akina Abe,8.3
Akio Otsuka,7.483333333333334
Akio Suyama,8.3
Akira,7.1499999999999995
Akira Akbar,4.7
Akira Emoto,6.8
Akira Ishida,7.4
Akira Kamiya,8.7
Akira Madden,6.6
Akit Tay,7.8
Akito Kiriyama,7.1
Akiva Schaffer,6.7
Akiya Henry,5.2
Akiyoshi Nakao,6.8
Akofa Edjeani Asiedu,5.6
Akon,5.0
Akram Hosny,6.25
Aksel Bonfil,6.1
Aksel Hennie,6.6000000000000005
Aksel Ustun,8.1
Aksha Pardhasany,7.3
Akshat Verma,5.7
Akshay Kumar,6.184
Akshay Oberoi,6.633333333333333
Akshay Pendse,7.0
Akshay Sachdev,8.2
Akshay Tanksale,6.8
Akshaye Khanna,6.5
Al Mukadam,5.6
Al Pacino,6.699999999999999
Al Roker,6.800000000000001
Al Sharpton,6.9
Al Shearer,4.25
Al Tantay,6.516666666666667
Al Thompson,7.4
Al Vicente,5.9
Al Weaver,5.2
Al Whiting,6.2
AlBloushi Mayed,5.1
AlMulla AbdulRahman,5.1
Ala Riani,8.2
Alaa Morsy,4.033333333333333
Alaa Seif,5.25
Alaa Shakir,5.1
Alaa Zenhom,3.7
Alaa Zinhom,5.3
Alain Blazquez,8.1
Alain Françon,3.6
Alain Hernández,6.216666666666668
Alain Moussi,4.95
Alain Prost,8.5
Alain Saadeh,7.2
Alaina Huffman,6.1
Alam Khan,7.0
Alan Aisenberg,5.1
Alan Alda,7.45
Alan Arkin,6.966666666666666
Alan Bates,7.2
Alan Blumenfeld,5.8
Alan C. Lim,7.3
Alan Cumming,5.628571428571428
Alan Dale,7.0
Alan David Lee,7.2
Alan Devlin,6.5
Alan Friedman,7.7
Alan Hopgood,6.2
Alan Kuo,7.1
Alan Lee,7.4
Alan Mandell,7.0
Alan Marriott,4.1000000000000005
Alan McGee,7.9
Alan Ng,5.8
Alan Oppenheimer,7.1
Alan Powell,6.15
Alan Rickman,6.9750000000000005
Alan Ritchson,5.65
Alan Ruck,6.8
Alan Sabbagh,5.533333333333334
Alan Saldaña,6.2
Alan Tan,5.0
Alan Thicke,5.449999999999999
Alan Titchmarsh,8.0
Alan Trinca,7.0
Alan Tudyk,7.033333333333334
Alan Van Sprang,7.5
Alan Wilder,6.6
Alan Young,6.0
Alana Husband,6.9
Alana Tyler-Tomkins,5.5
Alanah Gilbert,4.7
Alankrita Sahai,7.2
Alanna Masterson,7.3
Alanna Ubach,6.233333333333333
Alannah Ong,6.05
Alano Miller,7.0
Alanoud Sajini,7.5
Alastair Forbes,4.5
Alastair Mackenzie,6.466666666666666
Alba August,6.3
Alba Baptista,6.8
Alba Flores,5.1
Alba Gaïa Kraghede Bellugi,7.8
Alba Ribas,7.6
Alba Rohrwacher,7.5
Alban Ivanov,4.5
Alban Lenoir,6.85
Albee Huang,7.199999999999999
Albert Baró,8.6
Albert Brooks,7.175
Albert Evans,7.1
Albert Halim,7.2
Albert Hammond Jr.,6.4
Albert Kong,7.0
Albert Mora,6.7
Albert Pujols,4.9
Albert Pérez,7.4
Albert Ribalta,5.5
Albert Rudbeck Lindhardt,7.9
Alberta Watson,4.4
Alberto Ajaka,6.8
Alberto Ammann,7.400000000000001
Alberto Cardeño,8.45
Alberto Collado,7.6
Alberto Di Stasio,6.3
Alberto Escobal,6.7
Alberto Estrella,5.9
Alberto Guerra,6.833333333333333
Alberto Jiménez,7.5
Alberto Mateo,7.0
Alberto Saavedra,4.3
Alberto Sordi,6.5
Alberto Velasco,5.1
Albie Casiño,6.8
Albin Grenholm,8.2
Albrecht Schuch,7.8
Albrecht Weimer,4.4
Aldan Shaikh,8.0
Alden Ehrenreich,6.833333333333333
Alden Richards,7.3
Alden Tab,4.4
Aldis Hodge,8.4
Aldo Gallardo,6.7
Aldo Tansani,6.7
Aldís Amah Hamilton,7.1
Alec Baldwin,5.885714285714285
Alec Guinness,8.0
Alec Mapa,5.95
Alec Secareanu,7.7
Aleck Bovick,6.1
Alejandra Ambrosi,6.3
Alejandra Flechner,6.5
Alejandra García,8.2
Alejandra Onieva,6.8
Alejandra Procuna,8.2
Alejandra Reynoso,8.2
Alejandra Sandoval,7.5
Alejandra Urdiaín,6.3
Alejandra Yañez,4.8
Alejandro Aguilar,6.449999999999999
Alejandro Awada,7.05
Alejandro Buitrago,8.8
Alejandro Calva,7.866666666666666
Alejandro Castiglioni,6.1
Alejandro Flores,5.2
Alejandro Goic,7.175000000000001
Alejandro Gutiérrez,7.6
Alejandro Martínez,6.9
Alejandro Nones,5.8
Alejandro Oliva,3.4
Alejandro Otero,7.9
Alejandro Patiño,6.1
Alejandro Puente,7.2
Alejandro Riaño,4.9
Alejandro Rodríguez,6.4
Alejandro Sieveking,8.0
Alejandro Speitzer,6.825
Alejandro Suárez,4.75
Alejandro Trejo,7.1
Alejandro Urdapilleta,7.4
Alejandro Vera,5.5
Alejandro Villeli,7.4
Alejandro de Hoyos Parera,8.0
Alejandro Ávila,7.6
Aleks Paunovic,6.099999999999999
Aleksa Palladino,8.4
Aleksandar Cvetković,6.7
Aleksandar Jovanovic,4.8
Aleksandar Seksan,4.7
Aleksander Bardini,6.5
Aleksander Bednarz,7.2
Aleksandr Baluev,5.9
Aleksandr Kuznetsov,7.4
Aleksandr Pikalov,6.9
Aleksandr Robak,6.6
Aleksandr Ustyugov,7.4
Aleksandra Grabowska,3.8
Aleksandra Popławska,5.25
Aleksei Archer,5.7
Aleksey Gorbunov,5.6
Aleksey Serebryakov,6.2
Aleksey Vesyolkin,6.6
Alen Liverić,6.7
Alencier Ley Lopez,6.233333333333333
Alese Johnson,7.4
Alessandra Denegri,3.5
Alessandra Mastronardi,8.3
Alessandra Negrini,6.6
Alessandra Oriti Niosi,4.4
Alessandra Rosaldo,7.5
Alessandra Torresani,5.5
Alessandra de Rossi,6.7
Alessandro Averone,7.8
Alessandro Borghi,7.65
Alessandro Cimadamore,5.1
Alessandro Giallocosta,6.7
Alessandro Juliani,5.828571428571429
Alessandro Nivola,6.760000000000001
Alessandro Sperduti,6.6
Alessandro Tedeschi,5.95
Alessia Cara,6.4
Alessia Giuliani,5.3
Alessio Boni,6.0
Alessio Gallo,7.0
Alessio Praticò,6.2
Alessio Scalzotto,5.300000000000001
Alessio Valentini,7.2
Aletheia Burney,7.5
Alex Abbad,6.574999999999999
Alex Alembe,7.0
Alex Arsenault,7.5
Alex Babic,6.15
Alex Barima,6.550000000000001
Alex Barnett,5.8
Alex Beaton,6.1
Alex Biglane,5.8
Alex Borstein,6.633333333333333
Alex Brendemühl,5.1
Alex Calin,5.35
Alex Calleja,5.8
Alex Calloway,8.0
Alex Cazares,6.2
Alex D. Linz,7.3
Alex Datcher,5.9
Alex Diaz,5.9
Alex Dimitriades,7.175000000000001
Alex Dobrenko,7.2
Alex Ekubo,6.45
Alex Essoe,4.4
Alex Estevez,4.7
Alex Etel,6.6
Alex Feldman,5.0
Alex Fernández,6.45
Alex Ferris,7.1
Alex Fitzalan,7.1
Alex Fong,5.949999999999999
Alex Gonzaga,4.1
Alex Goode,5.3
Alex Harries,7.6
Alex Hassell,6.6
Alex Haydon,5.7
Alex Heartman,6.533333333333334
Alex Hibbert,7.4
Alex House,4.3
Alex Hurt,7.2
Alex Jayne Go,8.6
Alex Jennings,8.7
Alex Kaluzhsky,6.4
Alex Karpovsky,5.65
Alex Kelly,6.2
Alex Kendrick,6.5
Alex Lam,5.8
Alex Lawther,7.833333333333333
Alex Lifeson,7.2
Alex Lutz,7.1
